id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1285215,167531,1258,2.634,0,49,,,,,
1285220,167531,1008,464,0,49,,,,,
1285240,167532,1004,2.15,2,1,2.1,2.2,,,
1285242,167532,1008,238,0,49,,,,,
1285291,167532,1003,10.66,2,1,10.31,11,,,
1285303,167532,1093,478,2,1,446,509,,,
1285323,167532,1257,0.031,0,49,,,,,
1285324,167532,1258,0.63,0,49,,,,,
1285347,167533,1003,10.2,1,44,,,,,
1285355,167533,1093,439,1,44,,,,,
1285392,167533,1004,1.53,1,44,,,,,
1285394,167533,1008,250,0,49,,,,,
1285434,167534,1003,4.41,1,44,,,,,
1285442,167534,1093,265,1,44,,,,,
1285461,167534,1253,66,1,44,,,,,
1285463,167534,1258,7.055,1,44,,,,,
1285479,167534,1004,18.52,1,44,,,,,
1285481,167534,1008,334,0,49,,,,,
1285519,167535,1004,7.58,12,1,6.05,9.41,,,
1285521,167535,1008,297,0,49,,,,,
1285577,167535,1003,8.01,12,1,7.19,9.56,,,
1285589,167535,1093,742,12,1,559,882,,,
1285622,167535,1257,0.014,0,40,,,,,
1285623,167535,1258,1.225,0,40,,,,,
1285637,167536,1093,1785,0,44,,,,,
1285670,167536,1258,10.85,1,46,,,,,
1285671,167536,1003,33.2,1,46,,,,,
1285688,167536,1004,25.6,1,46,,,,,
1285689,167536,1253,48,0,51,,,,,
1285693,167536,1008,410,0,47,,,,,
1285733,167537,1093,514,12,1,300,645,,,
1285736,167537,1003,6.17,12,1,5.81,6.94,,,
1285752,167537,1257,0.088,0,49,,,,,
1285753,167537,1258,4.331,0,49,,,,,
1285788,167537,1004,33.36,12,1,29.64,35.91,,,
1285817,167537,1008,539,0,49,,,,,
1285851,167538,1003,7,21,,,,,,
1285857,167538,1093,763,7,,,,,,
1285877,167538,1258,4.46,0,,,,,,
1285879,167538,1004,32.7,22,,,,,,
1285881,167538,1008,523,0,,,,,,
1285915,167539,1004,26.9,1,,,,,,
1285917,167539,1008,510,0,49,,,,,
1285956,167539,1258,22.75,0,,,,,,
1285964,167539,1093,1022,1,,,,,,
1285968,167539,1003,5.8,1,,,,,,
1285972,167540,1093,199,0,44,,,,,
1286001,167540,1258,0.65,0,20,,,,,
1286009,167540,1004,2.68,0,51,,,,,
1286011,167540,1008,359,0,49,,,,,
1286025,167540,1003,1,8,,,,,,
1286053,167541,1003,0.1,1,2,,,,,
1286058,167541,1008,371,0,49,,,,,
1286068,167541,1093,317,1,2,,,,,
1286087,167541,1258,0.672,0,51,,,,,
1286109,167541,1004,3,17,,,,,,
1286124,167542,1008,471,0,49,,,,,
1286178,167542,1004,19.8,27,,,,,,
1286181,167542,1258,2.37,0,,,,,,
1286185,167542,1003,10.1,28,,,,,,
1286191,167542,1093,294,24,,,,,,
1286216,167543,1003,7.7,1,,,,,,
1286234,167543,1258,12.51,0,,,,,,
1286242,167543,1093,256,1,,,,,,
1286246,167543,1004,25.5,1,,,,,,
1286248,167543,1008,495,0,49,,,,,
1286297,167544,1093,282,2,,,,,,
1286301,167544,1003,7.6,2,,,,,,
1286303,167544,1258,9.57,0,,,,,,
1286314,167544,1004,17.8,2,,,,,,
1286316,167544,1008,448,0,49,,,,,
1286345,167545,1004,24.9,2,,,,,,
1286347,167545,1008,466,0,,,,,,
1286374,167545,1003,5.8,1,,,,,,
1286380,167545,1093,200,2,,,,,,
1286399,167545,1253,5,1,,,,,,
1286400,167545,1258,14.22,0,,,,,,
1286406,167546,1008,473,0,49,,,,,
1286411,167546,1093,174,0,40,,,,,
1286443,167546,1257,0.029,0,40,,,,,
1286444,167546,1258,5.735,0,40,,,,,
1286460,167546,1003,8.72,0,40,,,,,
1286468,167546,1004,20.18,0,40,,,,,
1286543,167547,1008,508,0,49,,,,,
1286560,167547,1253,12,1,,,,,,
1286561,167547,1258,17.01,0,,,,,,
1286568,167547,1093,193,2,,,,,,
1286571,167547,1003,10.2,2,,,,,,
1286574,167547,1004,31.1,2,,,,,,
1286631,167548,1004,20,1,,,,,,
1286633,167548,1008,432,0,,,,,,
1286645,167548,1093,328,1,,,,,,
1286664,167548,1253,1,1,,,,,,
1286665,167548,1258,5.59,0,,,,,,
1286670,167548,1003,9.8,1,,,,,,
1286691,167549,1258,6.82,0,49,,,,,
1286701,167549,1003,7.29,6,1,6.79,7.63,,,
1286745,167549,1004,43.55,6,1,41.3,45.61,,,
1286748,167549,1008,583,0,49,,,,,
1286756,167549,1093,909,0,44,,,,,
1286810,167550,1004,3.1,4,,,,,,
1286812,167550,1008,384,0,49,,,,,
1286836,167550,1003,9.7,4,,,,,,
1286855,167550,1093,288,4,,,,,,
1286860,167550,1258,0.48,0,,,,,,
1286901,167551,1093,177,0,44,,,,,
1286906,167551,1003,6.4,2,,,,,,
1286925,167551,1258,1.04,0,,,,,,
1286928,167551,1004,7.8,5,,,,,,
1286930,167551,1008,400,0,49,,,,,
1286989,167552,1004,12.8,5,,,,,,
1286991,167552,1008,431,0,49,,,,,
1287032,167552,1258,3.61,0,,,,,,
1287036,167552,1003,3.8,5,,,,,,
1287042,167552,1093,206,2,,,,,,
1287064,167553,1257,0.139,0,49,,,,,
1287065,167553,1258,6.759,0,49,,,,,
1287079,167553,1003,4.56,4,1,4.31,4.81,,,
1287130,167553,1004,26.14,4,1,25.48,26.67,,,
1287136,167553,1008,502,0,49,,,,,
1287145,167553,1093,450,0,44,,,,,
1287174,167554,1093,541,0,67,,,,,
1287179,167554,1003,6.6,1,,,,,,
1287196,167554,1253,3,1,,,,,,
1287197,167554,1258,9.47,0,,,,,,
1287224,167554,1004,37,1,,,,,,
1287226,167554,1008,547,0,49,,,,,
1287274,167555,1008,384,0,49,,,,,
1287298,167555,1003,10.04,21,1,8.85,10.7,,,
1287305,167555,1257,0.004,0,49,,,,,
1287341,167555,1258,0.391,0,49,,,,,
1287347,167555,1093,1240,21,1,849,1640,,,
1287364,167555,1004,2.93,21,1,1.9,4.5,,,
1287367,167556,1008,457,0,49,,,,,
